candidate,C,gamma,epsilon,mse,mae,rmse,bias,damaged_mae,zero_mae,low_mae,medium_mae,high_mae,high_bias,high_abs_bias,high_underestimation,n_zero,n_low,n_medium,n_high
36,500.0,0.00075,0.04,0.0017505664631815006,0.028481879036135027,0.041839771308905364,0.0058963693481132095,0.042824291934123834,0.02243223568105918,0.025228221156734846,0.03442918843669469,0.05432084507648326,-0.04466133782146627,0.04466133782146627,0.7865168539325843,1266,90,177,267
47,750.0,0.0005,0.03,0.0017559794147693076,0.027415660377349334,0.04190440805892988,0.0029729672947667422,0.045538277018844775,0.019771523500130873,0.0258797391813756,0.037803025362098515,0.05729261390504819,-0.04766007220885715,0.04766007220885715,0.7940074906367042,1266,90,177,267
24,300.0,0.001,0.04,0.0017776361829155544,0.028700576968225235,0.04216202299363201,0.005841122838871385,0.043211909868822375,0.022579682995935445,0.025294921145197914,0.03440443510608522,0.055090007315004685,-0.045771113812514544,0.045771113812514544,0.7940074906367042,1266,90,177,267
19,300.0,0.00075,0.02,0.0018100492405869664,0.026687710385446557,0.04254467346903683,0.0004947162895903247,0.04808154594669789,0.01766377026719363,0.02653447608304539,0.04030889062374456,0.06049726235078575,-0.05194982956002009,0.05194982956002009,0.8127340823970037,1266,90,177,267
48,750.0,0.0005,0.04,0.0018168872449516229,0.02897209956894023,0.04262496035132025,0.005211424738558148,0.04462107189783919,0.022371348207461523,0.025604767554531786,0.03595186565112147,0.05677806401981184,-0.04752998648154488,0.04752998648154488,0.8089887640449438,1266,90,177,267
20,300.0,0.00075,0.03,0.0018434500956320508,0.02812004900545223,0.04293541772979565,0.002524232713694142,0.04712565883428755,0.02010346476485345,0.02634797501061005,0.03850620090567839,0.05984339515449278,-0.05161567577282918,0.05161567577282918,0.8239700374531835,1266,90,177,267
31,500.0,0.0005,0.02,0.0018666485981737118,0.02713904709801676,0.04320472888670535,0.00015440087178352743,0.04949686777838089,0.017708497142792084,0.026935314481823926,0.04139942109765622,0.062469856015004065,-0.05355407162650744,0.05355407162650744,0.8202247191011236,1266,90,177,267
32,500.0,0.0005,0.03,0.0018892112904418557,0.028452733421930665,0.04346505827031474,0.002193915554032638,0.04825739442707949,0.020099108637768367,0.026780952667618593,0.03936652292389299,0.06139059298294276,-0.052975062747699746,0.052975062747699746,0.8239700374531835,1266,90,177,267
21,300.0,0.00075,0.04,0.0019062900961967077,0.029725600588672685,0.04366108216932681,0.004976044947249461,0.04598891420821615,0.022865719488486102,0.025260949194108206,0.03690613300601009,0.05899703826836667,-0.05077608155983951,0.05077608155983951,0.8277153558052435,1266,90,177,267
33,500.0,0.0005,0.04,0.0019395611219981844,0.02997347200188316,0.04404044870341564,0.004522472209221793,0.04711389873692111,0.022743623758194168,0.025522088740150415,0.037658532213647206,0.06066020126249729,-0.05262218564502772,0.05262218564502772,0.8426966292134831,1266,90,177,267
16,300.0,0.0005,0.02,0.0020566358253450746,0.02854126719289751,0.045350146916466265,-0.0009269197754309014,0.053269126806010404,0.018111032569356998,0.028143460057303414,0.044366422934370764,0.06764024513059409,-0.0600696399063114,0.0600696399063114,0.8277153558052435,1266,90,177,267
17,300.0,0.0005,0.03,0.002061101927882182,0.029721357880373243,0.04539936043472619,0.001209018395362444,0.05164123655820067,0.02047553227692945,0.02701273339742957,0.04186705904239495,0.06642249013410707,-0.05933248349741082,0.05933248349741082,0.850187265917603,1266,90,177,267
7,100.0,0.001,0.02,0.0020728545026157293,0.028619362380701827,0.045528611911804746,-0.0009810926193114145,0.05325582638315609,0.018227678512368038,0.027217091472560493,0.044479121140817625,0.06785119331142392,-0.061254371872189975,0.061254371872189975,0.8389513108614233,1266,90,177,267
8,100.0,0.001,0.03,0.0020852442433733675,0.030002457066084672,0.04566447463152694,0.001322400512704139,0.051743691769611126,0.02083198366033181,0.026338734285378182,0.0418516600242773,0.0668647996067087,-0.06067217831894155,0.06067217831894155,0.8651685393258427,1266,90,177,267
18,300.0,0.0005,0.04,0.0021394959635869263,0.03162231974323391,0.04625468585545606,0.003971335185855368,0.050432603809832895,0.023688124094289317,0.025357539951404565,0.04001319715767301,0.06579211963264506,-0.058792668928634446,0.058792668928634446,0.8539325842696629,1266,90,177,267
9,100.0,0.001,0.04,0.0021721227792067593,0.03201814211621027,0.04660603801233011,0.0038677532789803907,0.05085694847644262,0.02407191573677578,0.024929948103002492,0.04014375646611443,0.06669839049680854,-0.06126161077609194,0.06126161077609194,0.8726591760299626,1266,90,177,267
5,100.0,0.00075,0.03,0.0022792518168501686,0.031553937116717445,0.04774151041651457,0.0004228931807602929,0.05559839224663728,0.021411963151964534,0.027472578312379613,0.04491334627225742,0.07216234876929056,-0.06688647649689605,0.06688647649689605,0.8689138576779026,1266,90,177,267
4,100.0,0.00075,0.02,0.0022913631826829905,0.0301451785654768,0.04786818549603683,-0.002302467746871327,0.05755236447415803,0.01858480157081979,0.028442933967931423,0.04746943731330308,0.07404871972895849,-0.06892150000740034,0.06892150000740034,0.8651685393258427,1266,90,177,267
6,100.0,0.00075,0.04,0.002368751213228509,0.033644575845501776,0.04866981829870037,0.0030843053980368134,0.05470644193642571,0.02476066076449594,0.02527400318134405,0.04328643410118661,0.07219805569970161,-0.06751354811566697,0.06751354811566697,0.8838951310861424,1266,90,177,267
2,100.0,0.0005,0.03,0.0026173680793730855,0.0340365777329284,0.05116021969629417,-0.0013290675932174487,0.06213220515231242,0.022185815456505758,0.02811574906955854,0.049420754190752945,0.08202511851427452,-0.0787116229945022,0.0787116229945022,0.9026217228464419,1266,90,177,267
1,100.0,0.0005,0.02,0.0026504862085719506,0.0326176475684258,0.051482872963461844,-0.004574555515017905,0.06485019639783987,0.019021927919999956,0.030207583118510427,0.05248437067235896,0.084725051635854,-0.08200177051467601,0.08200177051467601,0.9138576779026217,1266,90,177,267
3,100.0,0.0005,0.04,0.0026756005748077715,0.03617165061328049,0.051726207813909686,0.0019271451383085366,0.06032165286878265,0.02598515677091227,0.025673271307469808,0.046823149037468245,0.08094932896863588,-0.07789752460763563,0.07789752460763563,0.9138576779026217,1266,90,177,267
