seed,model,candidate,alpha,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
4,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.02,,500.0,0.003,0.02,0.002870124391779175,0.032315231783924,5.138248624978587,0.6014285714285714,False
4,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.03,,500.0,0.003,0.03,0.002831229519751155,0.03269493223611019,3.4641387909650803,0.4673809523809524,False
4,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.04,,500.0,0.003,0.04,0.002734505738605627,0.033491540935299116,2.5192497079842724,0.36833333333333335,False
4,rbf_svr,rbf_svr_C_500_gamma_0p01_eps_0.02,,500.0,0.01,0.02,0.0035725132023925864,0.03436045875147239,10.123929833003785,0.6366666666666667,False
4,rbf_svr,rbf_svr_C_500_gamma_0p01_eps_0.03,,500.0,0.01,0.03,0.003472402983698623,0.03481638979650209,5.674178999965079,0.5041666666666667,False
4,rbf_svr,rbf_svr_C_500_gamma_0p01_eps_0.04,,500.0,0.01,0.04,0.0032429705513763343,0.035446367664964964,2.855194500007201,0.4,False
4,rbf_svr,rbf_svr_C_750_gamma_0p0005_eps_0.02,,750.0,0.0005,0.02,0.003185460080027004,0.035564474414735245,1.5419096249970607,0.6125,False
4,rbf_svr,rbf_svr_C_750_gamma_0p0005_eps_0.03,,750.0,0.0005,0.03,0.003141053331868731,0.03644851846741019,1.2812100000446662,0.4925,False
4,rbf_svr,rbf_svr_C_750_gamma_0p0005_eps_0.04,,750.0,0.0005,0.04,0.003119764907199468,0.037653754118351465,1.0145739170257002,0.3858333333333333,False
4,rbf_svr,rbf_svr_C_750_gamma_0p00075_eps_0.02,,750.0,0.00075,0.02,0.002931575789538103,0.03392921857284983,2.1574309999705292,0.6060714285714286,False
4,rbf_svr,rbf_svr_C_750_gamma_0p00075_eps_0.03,,750.0,0.00075,0.03,0.002876564526118231,0.034702304986191625,1.6606990420259535,0.48178571428571426,False
4,rbf_svr,rbf_svr_C_750_gamma_0p00075_eps_0.04,,750.0,0.00075,0.04,0.0029320147115293174,0.03602576603491611,1.3680972920265049,0.3769047619047619,False
4,rbf_svr,rbf_svr_C_750_gamma_0p001_eps_0.02,,750.0,0.001,0.02,0.002795345282592559,0.03302608322089338,2.6917582909809425,0.6035714285714285,False
4,rbf_svr,rbf_svr_C_750_gamma_0p001_eps_0.03,,750.0,0.001,0.03,0.00270811602898995,0.0335951531166571,2.2010220420197584,0.4711904761904762,False
4,rbf_svr,rbf_svr_C_750_gamma_0p001_eps_0.04,,750.0,0.001,0.04,0.002772823951870793,0.034901696485853395,1.4804711670149118,0.36833333333333335,False
