seed,storey,base_prediction,learned_upward_correction
9,1,0.125,0.03287651402228514
9,1,0.15,0.03287651402228514
9,1,0.175,0.03287651402228514
9,1,0.2,0.03287651402228514
9,1,0.225,0.03287651402228514
9,1,0.25,0.03287651402228514
9,1,0.3,0.03287651402228514
9,1,0.35,0.03287651402228514
9,1,0.4,0.03287651402228514
9,2,0.0,0.0
9,2,0.025,0.0
9,2,0.05,0.0
9,2,0.075,0.0
9,2,0.1,0.0
9,2,0.125,0.013821842700900137
9,2,0.15,0.013821842700900137
9,2,0.175,0.013821842700900137
9,2,0.2,0.013821842700900137
9,2,0.225,0.013821842700900137
9,2,0.25,0.013821842700900137
9,2,0.3,0.013821842700900137
9,2,0.35,0.013821842700900137
9,2,0.4,0.013821842700900137
9,3,0.0,0.0
9,3,0.025,0.0
9,3,0.05,0.0
9,3,0.075,0.0
9,3,0.1,0.0
9,3,0.125,0.006040385529939488
9,3,0.15,0.006040385529939488
9,3,0.175,0.006040385529939488
9,3,0.2,0.006040385529939488
9,3,0.225,0.006040385529939488
9,3,0.25,0.006040385529939488
9,3,0.3,0.006040385529939488
9,3,0.35,0.006040385529939488
9,3,0.4,0.006040385529939488
9,4,0.0,0.0
9,4,0.025,0.0
9,4,0.05,0.0
9,4,0.075,0.0
9,4,0.1,0.0
9,4,0.125,0.0
9,4,0.15,0.004573377042096745
9,4,0.175,0.004573377042096745
9,4,0.2,0.004573377042096745
9,4,0.225,0.004573377042096745
9,4,0.25,0.004573377042096745
9,4,0.3,0.004573377042096745
9,4,0.35,0.004573377042096745
9,4,0.4,0.004573377042096745
