seed,descriptor_set,candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
2,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.03,100.0,0.003,0.03,0.0020029364463995873,0.02743643340151902,0.8432700409903191,0.3744047619047619,False
2,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.04,100.0,0.003,0.04,0.002175198188477807,0.02993805676670849,0.5973486669827253,0.3013095238095238,False
2,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.02,100.0,0.01,0.02,0.0024289113222588326,0.02863969040191167,1.6415217919857241,0.5366666666666666,False
2,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.03,100.0,0.01,0.03,0.002570360162842831,0.030930904555247468,0.9191560000181198,0.4163095238095238,False
2,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.04,100.0,0.01,0.04,0.0028299655830677306,0.034159129117188845,0.7036953749484383,0.3457142857142857,False
2,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.02,300.0,0.0005,0.02,0.0024917261418691914,0.02894079737778942,0.931054208020214,0.5111904761904762,False
2,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.03,300.0,0.0005,0.03,0.002552080554779554,0.030866816876033012,0.7132268329733051,0.39916666666666667,False
2,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.04,300.0,0.0005,0.04,0.002653802423590085,0.03338033361352738,0.5895289579639211,0.3279761904761905,False
2,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.02,300.0,0.00075,0.02,0.0022223615686932626,0.027087345696702864,1.361020083015319,0.4953571428571429,False
2,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.03,300.0,0.00075,0.03,0.00225135713005262,0.02880728982134153,0.9231765419826843,0.37952380952380954,False
2,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.04,300.0,0.00075,0.04,0.0024015158786869872,0.031208080583582334,0.7017505000112578,0.30523809523809525,False
2,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.02,300.0,0.001,0.02,0.0020374661126871993,0.026119224356860336,1.60103291698033,0.48333333333333334,False
2,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.03,300.0,0.001,0.03,0.0020732181388543516,0.027589547027756945,1.0772187499678694,0.36654761904761907,False
2,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.04,300.0,0.001,0.04,0.0022255956088673527,0.030157327365949227,0.7778492909856141,0.2935714285714286,False
2,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.02,300.0,0.003,0.02,0.0017182387300218702,0.024155755692210998,3.465492208953947,0.4963095238095238,True
2,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.03,300.0,0.003,0.03,0.001797474201856753,0.02572683845915318,1.944396249949932,0.3738095238095238,False
2,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.04,300.0,0.003,0.04,0.0019603958775760966,0.027905441979215077,1.298813249974046,0.29583333333333334,False
2,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.02,300.0,0.01,0.02,0.002508262685579771,0.02893351275459558,3.1415007910109125,0.5398809523809524,False
2,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.03,300.0,0.01,0.03,0.002623796829085723,0.031000664081417766,1.6916244589956477,0.4170238095238095,False
2,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.04,300.0,0.01,0.04,0.0028628110720660344,0.03393966148027214,1.0582327080192044,0.3458333333333333,False
2,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.02,500.0,0.0005,0.02,0.0022389770476894592,0.027236903197233375,1.4484885840211064,0.49642857142857144,False
2,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.03,500.0,0.0005,0.03,0.002321438845077091,0.029181458604004548,1.0851508749765344,0.38333333333333336,False
