case_id,noise_level,noise_percent,replicate,descriptor_shift_l2,descriptor_shift_l1,standard_case_mae,standard_case_mae_change,calibrated_case_mae,calibrated_case_mae_change
425,0.2,20,2,0.21653449875466538,0.11525910743473403,0.24421529604659242,0.22382586865616522,0.2586330566080243,0.23824362921759712
2985,0.2,20,2,0.2666182041320559,0.1166671072767187,0.20532957607754748,0.18463404003953085,0.2139525036002959,0.18746213452359584
2195,0.2,20,2,0.2448774530588058,0.130305047816811,0.308200219394607,0.296908721887929,0.308200219394607,0.2985097064152361
1847,0.2,20,2,0.3462212799761504,0.1862978994997876,0.2971500531476273,0.2868135218781379,0.29973335979651966,0.2841341646762202
1629,0.2,20,2,0.4358122051413097,0.2488514215226787,0.282673972919714,0.2632266840980035,0.2884688059583975,0.2738859305506141
1375,0.2,20,2,0.3131224696943206,0.16697182862581747,0.32664703934576467,0.32564573783820544,0.3315114527596918,0.33138858340473837
1790,0.2,20,2,0.27086777032358095,0.12800454153498775,0.18858391335077623,0.14145464849101547,0.20300167391220808,0.1558724090524473
1998,0.2,20,2,0.22864825160384059,0.12045331917386498,0.2961708228120401,0.2876273416115229,0.30103523622596723,0.2962502691342713
1352,0.2,20,2,0.3847264815627602,0.18628499592936154,0.25899145429182235,0.2344347183776519,0.2676143818145708,0.2372628128617169
2059,0.2,20,2,0.20473987030645435,0.09158293120708955,0.19739801732024326,0.153409215946942,0.2118157778816752,0.17158549061719525
1738,0.2,20,2,0.6113909002583453,0.3482452371240686,0.19788189105545562,0.1499629918674626,0.20796740739083378,0.16004850820284075
161,0.2,20,2,0.26848373303086415,0.132086594589093,0.2304422550408055,0.2144468641865935,0.23420076914962681,0.21334096488148768
2218,0.2,20,2,0.2163717209150352,0.10733160981451875,0.2989416652570425,0.2896214600935279,0.3075645927797909,0.2987765568041497
1870,0.2,20,2,0.24522174822786683,0.10769915532004831,0.2144902306633203,0.20258923479710142,0.22514947711593086,0.21764053575488645
1513,0.2,20,2,0.5253025901767843,0.2921450423824105,0.1823358960592796,0.1657401036342691,0.19675365662071148,0.18502227760962814
1125,0.2,20,2,0.3784505502219407,0.21442328420831294,0.37096557223591703,0.349422247654727,0.3787915880451851,0.35450439493008684
305,0.2,20,2,0.3354528756365976,0.1875134943486836,0.2439089077691341,0.23043374535190675,0.258326668330566,0.24485150591333865
566,0.2,20,2,0.28481257096123236,0.15485803141319435,0.26687099123579094,0.23258835812104725,0.2706295053446123,0.23148245881594143
2223,0.2,20,2,0.8851178273108575,0.49953164504774933,0.4801761186733337,0.4255183033888146,0.4845681731785082,0.42991035789398907
833,0.2,20,2,0.23199376201374888,0.11555269584672138,0.30226459650329907,0.29256312934478024,0.3081819924435304,0.30223903939383284
2977,0.2,20,2,0.28475434509684994,0.15500053932599858,0.1783197976082351,0.1697885084610466,0.18787314475573985,0.1842062690224785
2671,0.2,20,2,0.34586581486363904,0.16687460930297002,0.12799970401866,0.07599739893803764,0.1386589504712706,0.08665664539064824
2301,0.2,20,2,0.2146334426679065,0.11418039981976204,0.2920661107948032,0.2714577224673946,0.3064838713562351,0.280317920930207
2657,0.2,20,2,0.3311932582971168,0.17719853168448726,0.3078307972869181,0.2926983219350259,0.32664061235352443,0.3109759678137588
918,0.2,20,2,0.30256836783385566,0.1515612083312558,0.25622979736257756,0.23768428912691258,0.25622979736257756,0.243245347322758
928,0.2,20,2,0.16755945958682747,0.08103715946667683,0.29020934961032974,0.2776866327688093,0.3034156274028132,0.29089291056129274
1626,0.2,20,2,0.5053687037295371,0.3011891302131795,0.27000043399402945,0.22199096879396085,0.2806596804466401,0.23265021524657148
2847,0.2,20,2,0.18197805137525175,0.08084765890760497,0.25369334737328175,0.21705917524668283,0.26231627489603015,0.2198872697307478
2342,0.2,20,2,0.19475281342950387,0.09585787905357682,0.24557835614838508,0.19215778486870688,0.259996116709817,0.20657554543013879
1522,0.2,20,2,0.32477639733444813,0.14442370086966014,0.2616187710076793,0.24469728781932834,0.27024169853042773,0.2519174368085678
1412,0.2,20,2,0.4028535246175508,0.19759427975383642,0.14112085766109495,0.10499600294554484,0.14946577350896156,0.1214914874074072
1679,0.2,20,2,2.430820768122033,1.250305269887013,0.15893941490282187,0.1323777307704701,0.16380382831674903,0.14100065829321853
572,0.2,20,2,0.2161188623113199,0.10596112762610622,0.32400574599162546,0.31612777195873665,0.33262867351437386,0.3203599969584602
1401,0.2,20,2,0.869654000777107,0.4828464616217417,0.41422312894550783,0.40256834077768333,0.41422312894550783,0.40743275419161046
2194,0.2,20,2,0.241686929985724,0.12056130083779137,0.14831336664447498,0.12653218477968184,0.16273112720590685,0.14957287286386214
2720,0.2,20,2,0.1745388054363122,0.07817119703481386,0.2907977373202467,0.2531793279117038,0.3052154978816786,0.2719891429783101
2068,0.2,20,2,0.7454394488411855,0.402841342418955,0.38875800557252466,0.37988994269920096,0.39315006007769915,0.38334739316010186
2629,0.2,20,2,0.9116059528751486,0.5006914342784449,0.25785248010258377,0.24895175296960928,0.2622445346077582,0.25543579026563545
2043,0.2,20,2,0.2957868503202211,0.13922665318135838,0.14027158555329067,0.1236314283148375,0.1488945130760391,0.1264595227989025
2416,0.2,20,2,0.26247466919223805,0.11370214436962847,0.2066106105015082,0.19612164912204483,0.2152335380242566,0.21389790687965549
1085,0.2,20,2,0.3290428473672235,0.1454033415523596,0.2572948022811869,0.24205236767861954,0.27171256284261874,0.262811948997765
557,0.2,20,2,1.183740689310574,0.6566063541686558,0.44129733740878974,0.3891636071172701,0.44616175082271686,0.39402802053119723
834,0.2,20,2,0.21865217771368656,0.10516831307492339,0.30081390831330124,0.2653574402321335,0.30081390831330124,0.2615989261233122
906,0.2,20,2,0.6705633977845465,0.3740017977272064,0.3425293374351761,0.3126182866400698,0.3499770574979956,0.3200660067028893
694,0.2,20,2,0.235174300013091,0.11859055059119815,0.34161626745136525,0.3289598937905121,0.35023919497411365,0.3375828213132605
472,0.2,20,2,0.6866130902108428,0.3860763234276146,0.17427849598416006,0.16773213554600735,0.1795411598349701,0.16813038598289026
2337,0.2,20,2,0.19258343707038322,0.09638967519849168,0.2286232118976888,0.20291827332979254,0.23817655904519355,0.20760720706337013
306,0.2,20,2,0.2179245886275424,0.11921903573968762,0.2061150468250012,0.1893169874181636,0.21097946023892836,0.2037347479795955
1720,0.2,20,2,0.17703012746375496,0.08467677516965737,0.3201025576985637,0.30599994387884977,0.3287254852213121,0.31462287140159817
2810,0.2,20,2,0.23534948421159535,0.09347571126344804,0.2896750872512283,0.2725459647402868,0.2907895486705796,0.27638518522238614
105,0.2,20,2,0.45462643604490394,0.19840350624750952,0.32920453382315745,0.2764038411539209,0.34362229438458936,0.2908216017153528
1433,0.2,20,2,2.788263790761283,1.378847617233124,0.1587703498140897,0.13933990572733515,0.16739327733683812,0.14796283325008358
2273,0.2,20,2,0.19383690237950998,0.09478936890626717,0.24872198307590232,0.23928626528084979,0.2612369535891615,0.2551553801591557
2935,0.2,20,2,0.49582367732476046,0.25594432107872944,0.15871322512857836,0.14880870248628153,0.17313098569001023,0.16382952842498902
1421,0.2,20,2,0.46336652175900356,0.24230284705921276,0.14754599527604367,0.1366230419264472,0.1484764149008,0.14241787496513067
1407,0.2,20,2,0.6388171994461286,0.3363981741291708,0.2527078378269511,0.23918075317170664,0.2627933541623293,0.2506690480405938
214,0.2,20,2,0.23123317458905893,0.10649154328860118,0.2324793072050575,0.18364078582233528,0.2468970677664894,0.1980585463837672
2984,0.2,20,2,0.3797955015160843,0.18412621190979506,0.19536027431260794,0.15751070787865845,0.20977803487403984,0.17192846844009035
2534,0.2,20,2,0.18725395908040912,0.10046782545435907,0.29534564447109307,0.2812670863609043,0.3048989916185978,0.30007690142751064
288,0.2,20,2,0.46415794626848467,0.21854403772865524,0.27093641596748413,0.2599097642215328,0.2897462310340905,0.27474983228632804
2852,0.2,20,2,0.2560593150201394,0.12419647049670592,0.3504592667136004,0.33939648351573876,0.35243698728012685,0.3413742040822652
2804,0.2,20,2,0.513455974377606,0.2876613868757602,0.28396962748168236,0.27408549626151874,0.2876281260703883,0.2835388278889081
388,0.2,20,2,0.3815083611423135,0.21193178866064372,0.33211341393384236,0.2990285488106921,0.34166676108134714,0.303657672265149
2102,0.2,20,2,0.21996397043486293,0.11323829295170833,0.3145497284171107,0.3050877178326838,0.326909122031351,0.313587226129623
2623,0.2,20,2,0.818047167903428,0.4894609421318268,0.4655608925215168,0.4420438797708767,0.4655608925215168,0.4377931057265067
264,0.2,20,2,0.31399691116059825,0.13508195502609774,0.24569213387372799,0.21310999902822636,0.25055654728765514,0.22602184337190992
2365,0.2,20,2,0.21036347948154352,0.1103968907503577,0.3630674302900741,0.3430396544370945,0.3668259443988954,0.3517223922389636
