noise_level,noise_percent,replicate,feature_index,feature_name,signed_mean_delta_z,mean_abs_delta_z,median_abs_delta_z,rms_delta_z,p95_abs_delta_z,fraction_abs_delta_z_gt_1,fraction_abs_delta_z_gt_2
0.05,5,0,47,story_4_to_story_3_rms_ratio,-0.00755887671996156,0.008350305174404039,0.0027096543882797483,0.016499013929384097,0.03880894096151618,0.0,0.0
0.05,5,0,48,story_1_max_abs_spatial_fraction,0.01911299267472825,0.056565402972934935,0.04524989612921641,0.07347483563967601,0.15378555716886044,0.0,0.0
0.05,5,0,49,story_1_rms_spatial_fraction,0.0025727177064285606,0.005116244437634328,0.0036879072846454216,0.00703639090150078,0.01535621849530395,0.0,0.0
0.05,5,0,50,story_2_max_abs_spatial_fraction,0.03159404197258918,0.0896109199146951,0.07177772040935926,0.1136185809350222,0.22199365238397664,0.0,0.0
0.05,5,0,51,story_2_rms_spatial_fraction,0.004856737639800826,0.007790666884103006,0.006756367857377434,0.009721573755088723,0.019772050445593495,0.0,0.0
0.05,5,0,52,story_3_max_abs_spatial_fraction,-0.004312577575491275,0.04542020184813457,0.034820880065469004,0.058493570906250285,0.11244090705521827,0.0,0.0
0.05,5,0,53,story_3_rms_spatial_fraction,-0.00022380729022554254,0.004722665318365693,0.0040844159148885435,0.0059672007328675745,0.011988132960345056,0.0,0.0
0.05,5,0,54,story_4_max_abs_spatial_fraction,-0.058214580970640466,0.10358706813079394,0.0865940783212201,0.1293014181190996,0.25659547083687184,0.0,0.0
0.05,5,0,55,story_4_rms_spatial_fraction,-0.01145077328404338,0.01199883368935873,0.010552998155086632,0.014377681486986338,0.02693012521260085,0.0,0.0
0.05,5,0,56,ground_dominant_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,57,ground_spectral_centroid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,58,ground_band_energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,59,story_1_dominant_frequency,-0.0004967354355626403,0.0009934708711252778,0.0,0.016661013011265415,0.0,0.0,0.0
0.05,5,0,60,story_1_spectral_centroid,0.293697440759047,0.29408579173161215,0.1143257853686741,0.48946531777093666,1.2087411605015086,0.08222222222222222,0.0044444444444444444
0.05,5,0,61,story_1_band_energy,0.0011575673767358402,0.002851261482153798,0.0003803139188790259,0.010435705944904306,0.012655048053454684,0.0,0.0
0.05,5,0,62,story_2_dominant_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,63,story_2_spectral_centroid,0.1462810053181323,0.14690956366440808,0.1136527372026346,0.18645441350267422,0.3733317318151636,0.0,0.0
0.05,5,0,64,story_2_band_energy,6.184157971462707e-05,0.0008569136504566341,4.936275967800791e-05,0.0036741572759355183,0.003789520267776685,0.0,0.0
0.05,5,0,65,story_3_dominant_frequency,-0.0002532176886603994,0.0002532176886603994,0.0,0.00537155834304457,0.0,0.0,0.0
0.05,5,0,66,story_3_spectral_centroid,0.10061245682398126,0.10198034880166347,0.08881242283027901,0.12181992966633798,0.23225401995134182,0.0,0.0
0.05,5,0,67,story_3_band_energy,0.00025741506908623244,0.0007235623076582555,2.323679589116831e-05,0.0031763600295120873,0.0025285719369887885,0.0,0.0
0.05,5,0,68,story_4_dominant_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,69,story_4_spectral_centroid,0.08135776252967485,0.08171281801897354,0.0677413414652579,0.10210339260814874,0.2117430479201437,0.0,0.0
0.05,5,0,70,story_4_band_energy,5.142735777635784e-05,0.0004569020345971335,2.5734041640888093e-05,0.0016414713271864323,0.0022641427044585672,0.0,0.0
0.05,5,0,71,story_1_ground_correlation,-0.00612026011316881,0.010365253377784841,0.0056217103571057775,0.015704855780255426,0.03715902840876768,0.0,0.0
0.05,5,0,72,story_2_ground_correlation,-0.0010776020980900712,0.0034399341343495267,0.002932296506427598,0.004086753405142659,0.008162764847178369,0.0,0.0
0.05,5,0,73,story_3_ground_correlation,0.002236257116810264,0.002868280550079281,0.0019045343475283922,0.004037298171993788,0.009061902110086804,0.0,0.0
0.05,5,0,74,story_4_ground_correlation,0.00046803521211129885,0.0008934392208273112,0.0008859304520803593,0.0010285409028598282,0.0017974760159111954,0.0,0.0
0.05,5,0,75,story_2_story_1_correlation,-0.013423142820887038,0.015561339173629164,0.009562532265297883,0.023660570983792564,0.06059573096258454,0.0,0.0
0.05,5,0,76,story_3_story_2_correlation,-0.002898755757909649,0.0059951416260302995,0.00543235591751181,0.0069692696216209415,0.012540058355878311,0.0,0.0
0.05,5,0,77,story_4_story_3_correlation,-0.026180864150506654,0.026180864150506654,0.017246546333084645,0.03215906432267086,0.06601121704817292,0.0,0.0
0.05,5,1,0,story_1_mean,-0.0023097100520941835,0.12576433799217648,0.04854273984891588,0.30569015918568976,0.5131345678850285,0.015555555555555555,0.006666666666666667
0.05,5,1,1,story_1_std,0.009388301917382564,0.009472077587151566,0.002223602953067774,0.02007088896009155,0.04573217025839618,0.0,0.0
0.05,5,1,2,story_1_max_abs,0.11223369308444806,0.12099246940323384,0.027266355540032636,0.27362650300203256,0.6163211697667924,0.022222222222222223,0.0
0.05,5,1,3,story_1_rms,0.00939075385865788,0.009474722585690761,0.002222365692608141,0.02008322192902488,0.04567301013374368,0.0,0.0
0.05,5,1,4,story_1_peak_to_peak,0.11277585238718153,0.1142661093565555,0.027631321731594043,0.25368407071841237,0.5780891516228841,0.02,0.0
0.05,5,1,5,story_1_crest_factor,0.15560309302532863,0.1926666153899981,0.09203668365897047,0.3016522070902383,0.7475196365104152,0.008888888888888889,0.0
0.05,5,1,6,story_2_mean,0.012199927734861895,0.06840661033704705,0.02745321780458502,0.16045107192887992,0.24786017865804225,0.0044444444444444444,0.0
0.05,5,1,7,story_2_std,0.0017092960006189302,0.0017766061270606526,0.0009852544567451188,0.0034540883031054037,0.005594389408524049,0.0,0.0
0.05,5,1,8,story_2_max_abs,0.041164493688192305,0.04267712930782398,0.013203293436241218,0.09214065890624693,0.2310533967775108,0.0,0.0
0.05,5,1,9,story_2_rms,0.0017097059617206664,0.0017778331634780255,0.0009928111980213711,0.0034587759099950132,0.005592917043169812,0.0,0.0
0.05,5,1,10,story_2_peak_to_peak,0.03861877270531323,0.03897320165535259,0.012955486905808958,0.08210059522399137,0.18931611918768057,0.0,0.0
0.05,5,1,11,story_2_crest_factor,0.07192598965831687,0.08882633878297988,0.08068289259137315,0.10822760008804864,0.20180630059821442,0.0,0.0
0.05,5,1,12,story_3_mean,-0.0022494529812640577,0.04989139631087326,0.019514482846933315,0.10876121787504683,0.2327291609592241,0.0,0.0
0.05,5,1,13,story_3_std,0.0009504910740312304,0.0011052838956726982,0.0005080495687401471,0.0021849371868826045,0.004106283770267209,0.0,0.0
0.05,5,1,14,story_3_max_abs,0.02627420008535167,0.026632661679065736,0.009269562399815266,0.05498564603748217,0.12752196086395565,0.0,0.0
0.05,5,1,15,story_3_rms,0.0009510650361942045,0.0011053545159172783,0.0005100770662298359,0.002182451355038412,0.004070855765199238,0.0,0.0
0.05,5,1,16,story_3_peak_to_peak,0.023613457824359686,0.02367682261409905,0.009085972487203609,0.04691899049836664,0.11017641743682362,0.0,0.0
0.05,5,1,17,story_3_crest_factor,0.07792276645816854,0.09382408638516507,0.08666395665749678,0.11253865680773842,0.20300318391889902,0.0,0.0
0.05,5,1,18,story_4_mean,-0.0021800849400908564,0.03695494078718811,0.014656422992627038,0.07315257055339326,0.17555182724594276,0.0,0.0
0.05,5,1,19,story_4_std,0.0005136449724600706,0.0006630368120699206,0.00028019171036952953,0.0013035977826872792,0.002944447096902379,0.0,0.0
0.05,5,1,20,story_4_max_abs,0.020709759313176326,0.021047454694459802,0.006614891185612901,0.04268410924376355,0.0946510644145941,0.0,0.0
0.05,5,1,21,story_4_rms,0.0005144160917791109,0.0006634819437917783,0.0002815143197375129,0.0013046642075045477,0.0029645006235630043,0.0,0.0
0.05,5,1,22,story_4_peak_to_peak,0.018712745274342295,0.018775514022272878,0.007003928468460184,0.037327892772252555,0.0814723929907688,0.0,0.0
0.05,5,1,23,story_4_crest_factor,0.14586040979218787,0.15582107287589925,0.14782331000800158,0.18268285676294319,0.32645298542942663,0.0,0.0
0.05,5,1,24,ground_max_abs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,1,25,ground_rms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
