method,noise_level,noise_percent,replicate,severity,n_entries,signed_bias,mae,rmse,underestimation_ratio,overestimation_ratio,equal_ratio
standard_svr,0.2,20,0,all,1800,0.26388801747022617,0.28395744635769005,0.3305284661631445,0.06444444444444444,0.7988888888888889,0.13666666666666666
standard_svr,0.2,20,0,zero,1245,0.30701536361990983,0.30701536361990983,0.35964651864219577,0.0,0.8024096385542169,0.19759036144578312
standard_svr,0.2,20,0,low,109,0.22860621553358154,0.2623060494874685,0.299746943756408,0.23853211009174313,0.7614678899082569,0.0
standard_svr,0.2,20,0,medium,172,0.1888147226789587,0.2551268420907592,0.27492337161577446,0.23255813953488372,0.7674418604651163,0.0
standard_svr,0.2,20,0,high,274,0.12908793410831387,0.20589817336974292,0.21630031637284255,0.18248175182481752,0.8175182481751825,0.0
standard_svr,0.2,20,0,damaged,555,0.16714288962093565,0.23223292925595354,0.2533132719428684,0.209009009009009,0.790990990990991,0.0
standard_svr,0.2,20,1,all,1800,0.26264495359594436,0.2828441763417109,0.3295132319754523,0.065,0.7988888888888889,0.1361111111111111
standard_svr,0.2,20,1,zero,1245,0.306730430166831,0.306730430166831,0.3592318685340685,0.0,0.8032128514056225,0.19678714859437751
standard_svr,0.2,20,1,low,109,0.21410027124317355,0.24741373847316342,0.2878155526686588,0.24770642201834864,0.7522935779816514,0.0
standard_svr,0.2,20,1,medium,172,0.18622950303930175,0.25454033826549893,0.2740805069129295,0.2441860465116279,0.7558139534883721,0.0
standard_svr,0.2,20,1,high,274,0.12960995192237015,0.2061718838764027,0.21637342523719189,0.17518248175182483,0.8248175182481752,0.0
standard_svr,0.2,20,1,damaged,555,0.16375050615314457,0.22926149884211708,0.2503257860986896,0.21081081081081082,0.7891891891891892,0.0
standard_svr,0.2,20,2,all,1800,0.26396399831997613,0.28435609738190976,0.3304665454689913,0.06333333333333334,0.8011111111111111,0.13555555555555557
standard_svr,0.2,20,2,zero,1245,0.30712978180561024,0.30712978180561024,0.35934770565069307,0.0,0.8040160642570281,0.19598393574297188
standard_svr,0.2,20,2,low,109,0.22687293277651588,0.25957890473146333,0.29818937476033003,0.23853211009174313,0.7614678899082569,0.0
standard_svr,0.2,20,2,medium,172,0.19209630999791508,0.25854576132716933,0.2774678310947783,0.23255813953488372,0.7674418604651163,0.0
standard_svr,0.2,20,2,high,274,0.12769672859741124,0.20693585903448977,0.21675180018920567,0.17518248175182483,0.8248175182481752,0.0
standard_svr,0.2,20,2,damaged,555,0.16713264617652668,0.23326918367468977,0.25400161287647327,0.20540540540540542,0.7945945945945946,0.0
standard_svr,0.2,20,3,all,1800,0.26177814153542717,0.28322495895564664,0.3289469427568132,0.06722222222222222,0.7961111111111111,0.13666666666666666
standard_svr,0.2,20,3,zero,1245,0.30485460680260884,0.30485460680260884,0.3571601953265348,0.0,0.8024096385542169,0.19759036144578312
standard_svr,0.2,20,3,low,109,0.2229932160682831,0.25521205936851027,0.2947688596135082,0.25688073394495414,0.7431192660550459,0.0
standard_svr,0.2,20,3,medium,172,0.1897651548779537,0.25837581745972654,0.27661845400775886,0.2441860465116279,0.7558139534883721,0.0
standard_svr,0.2,20,3,high,274,0.12668175950390503,0.2116868086739976,0.22050540997431112,0.18613138686131386,0.8138686131386861,0.0
standard_svr,0.2,20,3,damaged,555,0.16514715188201962,0.23470439756921788,0.25452490519324644,0.218018018018018,0.781981981981982,0.0
standard_svr,0.2,20,4,all,1800,0.26523392018495073,0.28508291261807256,0.33121815371673435,0.06666666666666667,0.7988888888888889,0.13444444444444445
standard_svr,0.2,20,4,zero,1245,0.30832418170521125,0.30832418170521125,0.36039595589985385,0.0,0.8056224899598393,0.19437751004016066
standard_svr,0.2,20,4,low,109,0.23026827452816923,0.2626000378922102,0.300062238074768,0.22935779816513763,0.7706422018348624,0.0
standard_svr,0.2,20,4,medium,172,0.19156530521470613,0.2599334951568995,0.27738100293677853,0.25,0.75,0.0
standard_svr,0.2,20,4,high,274,0.12959480178621674,0.20421047880403273,0.2154177642425645,0.1897810218978102,0.8102189781021898,0.0
standard_svr,0.2,20,4,damaged,555,0.16857198218004193,0.2329470927739506,0.25384505301453403,0.21621621621621623,0.7837837837837838,0.0
calibrated_svr,0.0,0,0,all,1800,0.010392205510742035,0.02167655431459531,0.03405559939906099,0.16555555555555557,0.5794444444444444,0.255
calibrated_svr,0.0,0,0,zero,1245,0.017657506161645957,0.017657506161645957,0.029353060340301454,0.0,0.6313253012048192,0.3686746987951807
calibrated_svr,0.0,0,0,low,109,-0.006090208208968662,0.02318312546341367,0.03346262698026581,0.6238532110091743,0.3761467889908257,0.0
calibrated_svr,0.0,0,0,medium,172,-0.010634126654447903,0.029349005794633468,0.03924439521458941,0.5930232558139535,0.4069767441860465,0.0
calibrated_svr,0.0,0,0,high,274,-0.0028639517247114137,0.03452267490085145,0.04787311032577973,0.46715328467153283,0.5328467153284672,0.0
calibrated_svr,0.0,0,0,damaged,555,-0.005905631084528921,0.030692256927968193,0.042763044000247996,0.5369369369369369,0.46306306306306305,0.0
calibrated_svr,0.05,5,0,all,1800,0.032007109194045646,0.0468725602279609,0.07408368083638352,0.13333333333333333,0.6622222222222223,0.20444444444444446
