seed,metric,78d_ridge,78d_svr,92d_ridge,92d_svr,information_effect_under_ridge,information_effect_under_svr,model_effect_on_78d,model_effect_on_92d,interaction_difference_in_differences,information_improvement_ridge_percent,information_improvement_svr_percent,model_improvement_78d_percent,model_improvement_92d_percent
4,zero_damage_mae,0.0347049081403138,0.02423827592566,0.029804096823362266,0.0160749047929329,-0.004900811316951536,-0.0081633711327271,-0.010466632214653802,-0.013729192030429365,-0.0032625598157755634,14.121378155324004,33.67966912236071,30.15893939939748,46.064781334583465
4,high_damage_mae,0.1005533222096303,0.0694755379976392,0.08908466161681165,0.0505505172671283,-0.011468660592818647,-0.018925020730510896,-0.031077784211991102,-0.03853414434968335,-0.007456360137692249,11.405551145201503,27.239833293775966,30.90677018826006,43.25564429422648
4,high_damage_abs_bias,0.0900538089896046,0.0607541353784315,0.0744264103824498,0.0357866149131492,-0.0156273986071548,-0.0249675204652823,-0.029299673611173103,-0.0386397954693006,-0.0093401218581275,17.35340101933806,41.0960016297855,32.5357405088277,51.916779636079426
4,high_damage_underestimation_ratio,0.8857142857142857,0.8214285714285714,0.8392857142857143,0.6892857142857143,-0.046428571428571375,-0.13214285714285712,-0.06428571428571428,-0.15000000000000002,-0.08571428571428574,5.241935483870962,16.08695652173913,7.258064516129031,17.872340425531917
5,test_mae,0.0442242760804688,0.0291263517004054,0.03935025576402933,0.0220371157771106,-0.004874020316439472,-0.0070892359232947975,-0.0150979243800634,-0.017313139986918726,-0.002215215606855326,11.021142115635518,24.339594591917688,34.13944945665543,43.997528480475424
5,test_rmse,0.0633483654133302,0.0466671132536986,0.058104748683964445,0.0377204186188639,-0.005243616729365748,-0.008946694634834697,-0.016681252159631593,-0.020384330065100542,-0.003703077905468949,8.277430199110315,19.171305039155442,26.332569200153994,35.08203808947227
5,damaged_entry_mae,0.0695904964530644,0.0433823624316112,0.0626931560873618,0.0346248200058816,-0.006897340365702595,-0.008757542425729598,-0.026208134021453194,-0.028068336081480197,-0.0018602020600270025,9.911325133819867,20.18687303978698,37.66050733540805,44.770973154338364
5,zero_damage_mae,0.0330923376435743,0.0228701167751999,0.02910624914731508,0.016513015360168,-0.0039860884962592165,-0.006357101415031902,-0.010222220868374397,-0.012593233787147082,-0.002371012918772685,12.045351824920761,27.796541126215285,30.889993262108806,43.266426132096626
5,high_damage_mae,0.0916894569561933,0.0486209794119639,0.08125508704595909,0.0380807325743428,-0.010434369910234206,-0.0105402468376211,-0.04306847754422939,-0.043174354471616286,-0.00010587692738689425,11.38011965238213,21.67839267143088,46.9721154143233,53.134340311759466
5,high_damage_abs_bias,0.0803502806995308,0.0345429783446974,0.06385670657728144,0.0218590918676133,-0.01649357412224936,-0.012683886477084096,-0.04580730235483341,-0.041997614709668146,0.003809687645165264,20.527089611456294,36.719145496124156,57.00951129981664,65.76852606521648
5,high_damage_underestimation_ratio,0.8718861209964412,0.7295373665480427,0.7793594306049823,0.6298932384341637,-0.092526690391459,-0.09964412811387902,-0.14234875444839856,-0.14946619217081858,-0.007117437722420017,10.612244897959174,13.658536585365855,16.3265306122449,19.178082191780828
6,test_mae,0.0449418291449715,0.0322280733161865,0.039245980266380334,0.0230411555038049,-0.0056958488785911685,-0.009186917812381595,-0.012713755828785006,-0.016204824762575433,-0.003491068933790427,12.673825224642579,28.505947973524936,28.28935998081764,41.29040643802476
6,test_rmse,0.0632873673124034,0.0519961490063156,0.058410884883998766,0.0421643662313163,-0.00487648242840464,-0.009831782774999298,-0.011291218306087807,-0.016246518652682465,-0.0049553003465946585,7.705301445599744,18.90867489783734,17.841188195349204,27.81419710546635
6,damaged_entry_mae,0.070668175486404,0.0499358899827608,0.06396555370848817,0.0373499432222633,-0.006702621777915835,-0.012585946760497499,-0.0207322855036432,-0.026615610486224864,-0.005883324982581664,9.484639629907194,25.204210368219137,29.337513471862493,41.60928647240491
6,zero_damage_mae,0.0340325556963893,0.0247190624512467,0.028763629502954857,0.0169735050155978,-0.005268926193434442,-0.007745557435648899,-0.0093134932451426,-0.011790124487357057,-0.002476631242214457,15.482017396634868,31.33434955684678,27.366423280784403,40.98969667978052
6,high_damage_mae,0.0936596557804817,0.0613433194084353,0.08453092280484929,0.0454603715788098,-0.009128732975632409,-0.0158829478296255,-0.0323163363720464,-0.039070551226039495,-0.006754214853993093,9.746707800238147,25.89189496556889,34.50400933331318,46.220424348423336
6,high_damage_abs_bias,0.0812494901377468,0.0487322883651747,0.06857652600024713,0.0262650248713389,-0.01267296413749966,-0.022467263493835803,-0.03251720177257209,-0.04231150112890823,-0.009794299356336144,15.597592201519635,46.103444446272846,40.02142255593711,61.69968587903644
6,high_damage_underestimation_ratio,0.8602150537634409,0.7383512544802867,0.8351254480286738,0.6774193548387096,-0.02508960573476704,-0.06093189964157708,-0.12186379928315416,-0.1577060931899642,-0.03584229390681004,2.9166666666666683,8.252427184466022,14.166666666666671,18.884120171673825
