noise_level,noise_percent,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
0.1,10.0,debug_noise_010_1000,no_meta,elasticnet,0.0519019229080699,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.070466750987326,86,0.0811216322539981,0.0390788849936698,no_meta + elasticnet
0.1,10.0,debug_noise_010_1000,physics_no_meta_core,elasticnet,0.0519019229080699,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.070466750987326,86,0.0811216322539981,0.0390788849936698,physics_no_meta_core + elasticnet
0.1,10.0,debug_noise_010_1000,response_correlation,ridge,0.0526779928824297,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0722146923279055,59,0.0834778693156304,0.0391615003469963,response_correlation + ridge
0.1,10.0,debug_noise_010_1000,response_frequency,ridge,0.0530062592031374,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0714270353592334,75,0.0781405126465424,0.0419761192027942,response_frequency + ridge
0.1,10.0,debug_noise_010_1000,response_correlation,elasticnet,0.0570260453582472,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0765403233736808,59,0.0921943643242312,0.0415924665314485,response_correlation + elasticnet
0.1,10.0,debug_noise_010_1000,response_frequency,elasticnet,0.0605044554759043,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0790176141171053,75,0.0936579493884193,0.0459550804495487,response_frequency + elasticnet
0.1,10.0,debug_noise_010_1000,response_spatial,ridge,0.0618925272665004,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0819889157573801,64,0.0981227642776683,0.0459929268515274,response_spatial + ridge
0.1,10.0,debug_noise_010_1000,response_basic_only,ridge,0.0625948742837929,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0821521689939265,52,0.1004336418359641,0.0459893719767249,response_basic_only + ridge
0.1,10.0,debug_noise_010_1000,response_spatial,elasticnet,0.0660213476764101,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0854644267181043,64,0.1063358484939638,0.0483293724974837,response_spatial + elasticnet
0.1,10.0,debug_noise_010_1000,response_basic_only,elasticnet,0.0663286844373691,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0850169380498508,52,0.1085500913569107,0.0477998655733976,response_basic_only + elasticnet
